City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Nevers,FR,2020-10-27 02:43:33,46.92,3.33,46.4,93,75,9.17
132,Soverato,IT,2020-10-27 02:43:33,38.69,16.55,50.0,87,0,4.7
133,Ketchikan,US,2020-10-27 02:42:52,55.34,-131.65,51.8,93,90,6.93
134,Zheshart,RU,2020-10-27 02:43:33,62.07,49.57,20.82,97,92,5.1
135,Bosaso,SO,2020-10-27 02:43:33,11.28,49.18,74.37,61,82,2.28
136,Gat,IL,2020-10-27 02:43:33,31.61,34.76,69.01,100,0,1.99
137,Acapulco,MX,2020-10-27 02:43:33,16.86,-99.89,84.2,83,90,10.29
138,Arauco,CL,2020-10-27 02:43:34,-37.25,-73.32,55.4,76,0,2.24
139,Ust-Nera,RU,2020-10-27 02:43:34,64.57,143.2,11.71,83,100,2.59
140,Jining,CN,2020-10-27 02:43:34,35.41,116.58,71.01,1,99,7.96
141,Butaritari,KI,2020-10-27 02:40:24,3.07,172.79,81.64,66,7,9.44
142,Monticello,US,2020-10-27 02:43:34,45.31,-93.79,24.8,62,1,6.08
143,Carnarvon,AU,2020-10-27 02:43:35,-24.87,113.63,77.0,57,0,25.28
144,Belaya Gora,RU,2020-10-27 02:43:35,68.53,146.42,7.63,88,54,1.7
145,Bridgetown,BB,2020-10-27 02:43:35,13.1,-59.62,78.8,78,75,17.22
146,North Bend,US,2020-10-27 02:43:35,43.41,-124.22,51.01,61,1,11.41
147,Vao,NC,2020-10-27 02:43:35,-22.67,167.48,73.33,81,15,19.15
148,Patuli,IN,2020-10-27 02:43:35,23.55,88.25,79.45,49,0,4.65
149,Clyde River,CA,2020-10-27 02:43:36,70.47,-68.59,9.39,86,2,4.0
150,Fort Nelson,CA,2020-10-27 02:39:18,58.81,-122.7,32.0,93,90,5.82
151,San Ignacio,BZ,2020-10-27 02:43:36,17.16,-89.07,80.01,83,75,4.7
152,Airai,TL,2020-10-27 02:41:23,-8.93,125.41,79.02,53,58,3.29
153,Valparaiso,CL,2020-10-27 02:39:31,-33.04,-71.63,46.4,93,0,2.24
154,Mount Gambier,AU,2020-10-27 02:43:36,-37.83,140.77,62.6,59,90,12.75
155,Saldanha,ZA,2020-10-27 02:43:36,-33.01,17.94,59.0,87,9,5.82
156,East London,ZA,2020-10-27 02:43:36,-33.02,27.91,66.92,83,55,19.13
157,Chumikan,RU,2020-10-27 02:43:37,54.72,135.31,39.16,71,100,11.83
158,Osakarovka,KZ,2020-10-27 02:43:37,50.56,72.57,35.06,82,48,22.53
159,Puri,IN,2020-10-27 02:43:37,19.8,85.85,71.6,94,20,3.36
160,Wodonga,AU,2020-10-27 02:43:37,-36.12,146.88,66.2,45,92,5.82
161,Kefar Sava,IL,2020-10-27 02:43:37,32.17,34.91,69.01,82,0,2.24
162,Buluang,PH,2020-10-27 02:43:37,13.31,123.34,83.26,76,100,2.06
163,Bonthe,SL,2020-10-27 02:43:37,7.53,-12.51,78.03,85,31,3.85
