City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Iqaluit,CA,63.75,-68.51,12.2,78,20,2.24,few clouds
282,Straumen,NO,63.87,11.3,54.0,54,75,27.51,light rain
283,Vrontados,GR,38.41,26.13,60.8,51,0,3.36,clear sky
284,Namatanai,PG,-3.67,152.43,80.04,81,70,5.39,light rain
285,Sarangani,PH,5.4,125.46,82.87,77,100,10.45,overcast clouds
286,Praya,CV,14.92,-23.51,84.2,48,40,11.41,scattered clouds
287,Rosarito,MX,32.33,-117.03,77.0,23,1,4.7,clear sky
288,Westport,US,41.14,-73.36,55.4,71,90,16.11,moderate rain
289,Flinders,AU,-34.58,150.86,60.01,84,43,1.99,scattered clouds
290,Isangel,VU,-19.55,169.27,75.27,83,9,14.03,clear sky
291,Celestun,MX,20.87,-90.4,80.38,76,47,19.28,scattered clouds
292,Coahuayana,MX,18.73,-103.68,92.48,48,27,3.62,scattered clouds
293,Collie,AU,-33.37,116.15,53.01,85,63,2.64,broken clouds
294,Nanortalik,GL,60.14,-45.24,30.13,88,45,24.43,scattered clouds
295,Manicore,BR,-5.81,-61.3,80.6,83,75,4.7,broken clouds
296,Mezen,RU,65.85,44.24,30.78,95,98,10.4,overcast clouds
297,Sorland,NO,67.67,12.69,48.2,81,0,20.8,clear sky
298,Udachnyy,RU,66.42,112.4,1.4,84,0,6.71,clear sky
299,Mapiripan,CO,2.89,-72.13,74.8,89,100,5.01,overcast clouds
300,Petrovsk-Zabaykalskiy,RU,51.27,108.84,12.81,91,61,4.81,broken clouds
301,Fort Nelson,CA,58.81,-122.7,15.8,78,75,9.17,broken clouds
302,General Pico,AR,-35.66,-63.76,80.92,25,3,10.69,clear sky
303,Boyolangu,ID,-8.12,111.89,75.9,86,97,1.68,moderate rain
304,Nuuk,GL,64.18,-51.72,24.8,79,100,2.24,light snow
305,Oktyabrskiy,RU,54.48,53.47,35.29,86,76,6.51,broken clouds
306,Airai,TL,-8.93,125.41,60.64,86,85,1.9,overcast clouds
307,Miri,MY,4.41,114.01,77.0,88,40,6.93,light rain
308,Bandar-E Lengeh,IR,26.56,54.88,77.0,78,0,6.91,clear sky
309,Evanston,US,42.04,-87.69,39.99,38,75,23.04,broken clouds
310,Byron Bay,AU,-28.65,153.62,60.8,93,18,5.82,few clouds
311,Lumsden,CA,50.65,-104.87,45.0,48,75,12.75,broken clouds
312,Churapcha,RU,62.0,132.43,-17.68,88,21,2.04,few clouds
313,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,81.5,72,84,13.69,broken clouds
314,Saint George,US,37.1,-113.58,60.8,17,1,4.41,clear sky
315,Ileza,RU,61.05,43.9,27.34,98,0,3.74,clear sky
316,Susaki,JP,33.37,133.28,64.94,85,99,1.48,light rain
317,Savannah Bight,HN,16.45,-85.85,84.2,74,40,3.36,scattered clouds
318,Altay,CN,47.87,88.12,30.22,79,0,4.16,clear sky
319,Maragogi,BR,-9.01,-35.22,81.27,72,80,13.96,broken clouds
320,Dauphin,CA,51.15,-100.05,39.2,51,1,20.8,clear sky
321,Kampot,KH,10.62,104.18,77.0,94,20,3.0,few clouds
322,Marawi,PH,8.0,124.29,77.0,85,100,1.99,very heavy rain
323,Manaure,CO,11.78,-72.44,86.27,64,100,6.85,overcast clouds
324,Makhachkala,RU,42.98,47.5,60.8,82,75,3.29,broken clouds
325,Mnogovershinnyy,RU,53.94,139.92,31.37,100,97,0.85,overcast clouds
326,Sitka,US,57.05,-135.33,46.4,93,90,4.23,moderate rain
327,Alenquer,BR,-1.94,-54.74,93.2,49,20,6.93,few clouds
328,Sakaiminato,JP,35.55,133.23,60.8,93,75,3.36,broken clouds
329,Puerto Del Rosario,ES,28.5,-13.86,71.6,83,20,11.41,few clouds
330,Simbahan,PH,6.3,120.58,82.69,77,100,10.25,overcast clouds
