City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
511,Conakry,GN,87.8,scattered clouds,9.54,-13.68,Riviera Royal Hotel
512,Kulhudhuffushi,MV,82.71,scattered clouds,6.62,73.07,Haajy Guest House 1
514,Campo Verde,BR,82.4,scattered clouds,-20.42,-54.07,
515,Kismayo,SO,79.88,few clouds,-0.36,42.55,Agan-Hotel
517,Miramar,US,88.0,broken clouds,25.99,-80.23,Stadium Hotel
519,Loanda,AO,78.8,broken clouds,-8.84,13.23,EPIC SANA Luanda
520,Biltine,TD,83.84,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
526,Comarapa,BO,75.42,scattered clouds,-17.9,-64.48,
527,San Patricio,US,82.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
534,Poum,NC,76.57,clear sky,-20.23,164.02,Gîte kajeon
544,Tual,ID,83.68,broken clouds,-5.67,132.75,Grand Vilia Hotel
551,Takoradi,GH,79.36,light rain,4.88,-1.76,Raybow International Hotel
553,Aquiraz,BR,86.0,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
554,Kudahuvadhoo,MV,82.92,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
556,Dwarka,IN,82.54,few clouds,22.24,68.97,Hotel Narayan Avezika Comfort
560,Galle,LK,79.47,few clouds,6.04,80.22,Amangalla
562,Illapel,CL,77.61,clear sky,-31.63,-71.17,Hotel Londres
564,Thinadhoo,MV,83.7,broken clouds,0.53,72.93,
568,Lorengau,PG,82.62,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
569,Lazaro Cardenas,MX,88.47,scattered clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
570,Cayenne,GF,82.4,light rain,4.93,-52.33,Hôtel Le Dronmi
573,Basco,PH,80.33,overcast clouds,20.45,121.97,Nathaniel's Lodge
575,Upington,ZA,82.4,clear sky,-28.45,21.26,River Place Manor
581,Meulaboh,ID,76.98,light rain,4.14,96.13,Kost Pria
583,Guhagar,IN,77.95,few clouds,17.48,73.19,Hotel Seawinds
585,Finschhafen,PG,79.84,light rain,-6.6,147.87,Cossam Guest House
587,Hirara,JP,76.53,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
593,Gizo,SB,82.89,light rain,-8.1,156.84,Imagination Island
597,Sa Kaeo,TH,75.76,overcast clouds,13.75,102.33,บ้านร่มฉัตร รีสอร์ท
599,Lafiagi,NG,83.07,clear sky,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
600,Mahajanga,MG,80.6,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
603,Havelock,US,75.2,scattered clouds,34.88,-76.9,Sherwood Motel
607,Gat,IL,75.99,light rain,31.61,34.76,OlusHome
627,Ahuimanu,US,75.2,few clouds,21.44,-157.84,Paradise Bay Resort
635,Domoni,KM,76.1,overcast clouds,-12.26,44.53,Loulou
636,Puerto Carreno,CO,79.93,overcast clouds,6.19,-67.49,Casa Hotel Victoria
638,Pangai,TO,77.0,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
642,Houston,US,77.0,clear sky,29.76,-95.36,"Hotel ICON, Autograph Collection"
643,Sao Miguel Do Araguaia,BR,86.09,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
649,Mindelo,CV,80.6,broken clouds,16.89,-24.98,Hotel Gaudi
651,Pedernales,DO,87.8,scattered clouds,18.04,-71.74,Hotel Costa Marina
652,Bitung,ID,75.2,few clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
657,Akyab,MM,77.86,light rain,20.15,92.9,Hotel Memory
668,San Juan,AR,87.53,clear sky,-31.54,-68.54,Hotel Provincial
670,Nachingwea,TZ,75.36,broken clouds,-10.38,38.77,Makoga lodge
672,Manta,EC,86.0,scattered clouds,-0.95,-80.73,Balandra Hotel
675,Dakar,SN,86.0,clear sky,14.69,-17.44,Novotel Dakar
680,Mangrol,IN,80.17,clear sky,21.12,70.12,Hotel The Royal Honours
681,Qandala,SO,79.3,few clouds,11.47,49.87,
684,Semporna,MY,75.2,scattered clouds,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
685,Kidal,ML,82.8,broken clouds,18.44,1.41,
692,Pahrump,US,75.99,overcast clouds,36.21,-115.98,Best Western Pahrump Oasis
693,Port Moresby,PG,77.0,broken clouds,-9.44,147.18,Lamana Hotel
694,Kribi,CM,79.36,overcast clouds,2.95,9.92,Les Vagues bleues
